name,parent,type,size
distro,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,49886
colorama,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,27348
cachecontrol,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,48131
idna,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,270310
tenacity,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,50281
requests,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,180427
tomli,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,26226
certifi,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,290998
rich,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,878477
urllib3,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,388569
pkg_resources,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,108849
resolvelib,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,30534
platformdirs,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,39067
tags.py,[],file,15699
_musllinux.py,[],file,4378
version.py,[],file,14665
__init__.py,[],file,497
utils.py,[],file,4200
requirements.py,[],file,4676
_structures.py,[],file,1431
markers.py,[],file,8487
__about__.py,[],file,661
_manylinux.py,[],file,11488
specifiers.py,[],file,30110
__init__.py,[],file,1132
exceptions.py,[],file,1081
fallback.py,[],file,34557
ext.py,[],file,6080
enums.py,"['cli', 'metadata']",file,1619
langhungarianmodel.py,"['cli', 'metadata']",file,101363
mbcssm.py,"['cli', 'metadata']",file,30068
johabfreq.py,"['cli', 'metadata']",file,42498
langthaimodel.py,"['cli', 'metadata']",file,102774
version.py,"['cli', 'metadata']",file,242
utf1632prober.py,"['cli', 'metadata']",file,8289
langbulgarianmodel.py,"['cli', 'metadata']",file,104562
euckrprober.py,"['cli', 'metadata']",file,1731
sjisprober.py,"['cli', 'metadata']",file,3749
cp949prober.py,"['cli', 'metadata']",file,1838
__init__.py,"['cli', 'metadata']",file,3705
euctwfreq.py,"['cli', 'metadata']",file,36913
langhebrewmodel.py,"['cli', 'metadata']",file,98196
chardistribution.py,"['cli', 'metadata']",file,9608
latin1prober.py,"['cli', 'metadata']",file,5260
charsetprober.py,"['cli', 'metadata']",file,4801
gb2312prober.py,"['cli', 'metadata']",file,1737
mbcharsetprober.py,"['cli', 'metadata']",file,3367
euctwprober.py,"['cli', 'metadata']",file,1731
